results_json_path,run_dir,dataset,model,hop,method,PE,beta,num_clients,num_iter,t,alpha,device,data_loading_option,fulltraining_flag,timestamp,n_reps,mean_global_acc_pct,std_global_acc_pct,best_global_acc_pct,mean_client_acc_pct,std_client_acc_pct,best_client_acc_pct,experiment_seeds,mean_rounds_executed,mean_training_time_s,duration_s,config_hash,training_config_hash,best_eval_acc_across_reps_pct
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta10000_clients8_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta10000_clients8_hop1_iter50_t0.1_alpha0.5_20260501_004302.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta10000_clients8_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,10000.0,8,50.0,0.1,0.5,cuda,adjacency,False,20260501_004302,4,72.675,1.2284814474246883,74.1,72.5862677241911,1.2864341621949535,74.06010917640711,"42,44,45,46",65.75,26.239,155.05843377113342,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta10000_clients8_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta10000_clients8_hop1_iter50_t0.1_alpha0.5_20260501_105425.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta10000_clients8_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,10000.0,8,50.0,0.1,0.5,cuda,adjacency,False,20260501_105425,5,73.03999999999999,1.3408952233489368,74.5,72.9748349854932,1.412836587516673,74.52910403070162,"42,43,44,45,46",66.6,13.1502,111.25940227508545,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients10_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients10_hop1_iter50_t0.1_alpha0.5_20260501_112941.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients10_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,10,50.0,0.1,0.5,cuda,adjacency,False,20260501_112941,5,77.28,1.7922053453775908,79.60000000000001,77.1154965213154,1.9429193242357163,79.34789465344568,"42,43,44,45,46",92.2,41.2968,262.70483922958374,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients12_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients12_hop1_iter50_t0.1_alpha0.5_20260501_113404.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients12_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,12,50.0,0.1,0.5,cuda,adjacency,False,20260501_113404,5,75.68,1.169187752245121,77.10000000000001,75.57402191308678,1.3070543056921515,77.06960899678363,"42,43,44,45,46",94.8,52.53,325.9960720539093,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients14_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients14_hop1_iter50_t0.1_alpha0.5_20260501_113931.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients14_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,14,50.0,0.1,0.5,cuda,adjacency,False,20260501_113931,5,75.22,1.4394443372357264,77.0,74.81573632191893,1.6126292593234837,76.6971559143908,"42,43,44,45,46",106.6,64.5068,392.0250072479248,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients16_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients16_hop1_iter50_t0.1_alpha0.5_20260501_114603.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients16_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,16,50.0,0.1,0.5,cuda,adjacency,False,20260501_114603,5,74.08,1.2008330441822477,75.3,73.98133313807266,1.7613576725205817,75.90451006841955,"42,43,44,45,46",82.0,53.4362,343.104248046875,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients18_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients18_hop1_iter50_t0.1_alpha0.5_20260501_115147.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients18_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,18,50.0,0.1,0.5,cuda,adjacency,False,20260501_115147,5,74.26,2.0501219475923875,77.0,74.69714376093127,2.161449516445772,76.87026649697222,"42,43,44,45,46",87.8,61.455799999999996,387.17845582962036,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients1_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients1_hop1_iter50_t0.1_alpha0.5_20260501_111513.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients1_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,1,50.0,0.1,0.5,cuda,adjacency,False,20260501_111513,5,80.72000000000001,0.27748873851022865,81.0,80.72000000000001,0.27748873851022865,81.0,"42,43,44,45,46",79.4,15.8036,109.26298403739929,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients20_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients20_hop1_iter50_t0.1_alpha0.5_20260501_115814.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients20_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,20,50.0,0.1,0.5,cuda,adjacency,False,20260501_115814,5,73.14,1.9667231630303281,75.9,73.30576292415046,1.7695451454731932,75.99806781709154,"42,43,44,45,46",86.0,65.7388,418.65221905708313,,,
experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients2_hop1_iter50_t0.1_alpha0.5/results_Cora_adjacency_GCN_beta1_clients2_hop1_iter50_t0.1_alpha0.5_20260501_111703.json,experiments/results/current/ablations/client_count/cora/R5_Cora_scalability/Cora_adjacency_GCN_beta1_clients2_hop1_iter50_t0.1_alpha0.5,Cora,GCN,1,FedProp-Adj,no,1.0,2,50.0,0.1,0.5,cuda,adjacency,False,20260501_111703,5,80.5,1.2389511693363835,82.19999999999999,80.47551601561875,1.2100057323474398,82.16361627515974,"42,43,44,45,46",92.0,21.557,141.53777599334717,,,
