placement,table_id,table_caption,dataset,model,hop,partition,beta,method,PE,num_clients,accuracy,mean_acc_pct,std_acc_pct,n_reps,delta_vs_zerohop_pp,zerohop_acc_pct,num_iter,t,alpha,notes,source_summary_path,source_dataset,beta_label,zero_acc_pct,full_acc_pct,best_fedprop_method,best_fedprop_acc_pct,gain_vs_zero_pp,full_gap_pp,gap_closed_pct,gap_closed_clipped_pct,status,zero_n_reps,full_n_reps,fedprop_n_reps
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,non-IID (beta=10),10,Zero-hop,no,10,58.12 +/- 1.93 (n=10),58.11999999999999,1.9263090786960064,10.0,0.0,58.11999999999999,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,IID (beta=10000),10000,FedProp-Adj,no,10,63.80 +/- 1.54 (n=10),63.8,1.5427248620541525,10.0,5.140000000000001,58.66,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,IID (beta=10000),10000,FedProp-Adj,yes,10,65.05 +/- 0.90 (n=10),65.05000000000001,0.9021579068482912,10.0,6.390000000000015,58.66,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,IID (beta=10000),10000,FedProp-Diff,no,10,62.62 +/- 1.54 (n=10),62.62,1.5353609781850448,10.0,3.960000000000001,58.66,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,IID (beta=10000),10000,FedProp-Diff,yes,10,65.24 +/- 1.06 (n=10),65.24,1.0616548926610347,10.0,6.579999999999998,58.66,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,IID (beta=10000),10000,Full-graph,no,10,69.66 +/- 0.41 (n=11),69.66363636363636,0.4105428778403723,11.0,11.00363636363636,58.66,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,1,IID (beta=10000),10000,Zero-hop,no,10,58.66 +/- 1.57 (n=10),58.66,1.57070401766568,10.0,0.0,58.66,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,non-IID (beta=1),1,FedProp-Adj,no,10,68.23 +/- 0.45 (n=3),68.23333333333333,0.4509249752822898,3.0,7.063333333333333,61.17,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,non-IID (beta=1),1,FedProp-Adj,yes,10,68.45 +/- 0.77 (n=10),68.45,0.7749551958375083,10.0,7.280000000000001,61.17,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,non-IID (beta=1),1,FedProp-Diff,no,10,68.73 +/- 1.19 (n=3),68.73333333333333,1.1930353445448802,3.0,7.563333333333333,61.17,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
