result_family,dataset,model,hop,method,PE,beta,num_clients,num_iter,t,alpha,n_reps,mean_acc_pct,std_acc_pct,source_files,source_summary_path,accuracy
primary_10_client,Citeseer,GAT,2,FedProp-Adj,yes,10000,10,50,0.1,0.5,30,66.61666666666667,1.1876035949973278,3,experiments/results/current/summary_current_live_preferred.csv,66.62 +/- 1.19 (n=30)
primary_10_client,Citeseer,GAT,2,FedProp-Diff,no,1,10,50,0.1,0.5,10,63.78,1.877232004841172,1,experiments/results/current/summary_current_live_preferred.csv,63.78 +/- 1.88 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Diff,no,10,10,50,0.1,0.5,15,58.03333333333334,4.984069861162902,3,experiments/results/current/summary_current_live_preferred.csv,58.03 +/- 4.98 (n=15)
primary_10_client,Citeseer,GAT,2,FedProp-Diff,no,10000,10,50,0.1,0.5,10,61.78,1.886089428774081,1,experiments/results/current/summary_current_live_preferred.csv,61.78 +/- 1.89 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Diff,yes,1,10,50,0.1,0.5,10,68.65,0.738241153011666,1,experiments/results/current/summary_current_live_preferred.csv,68.65 +/- 0.74 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Diff,yes,10,10,50,0.1,0.5,10,64.57000000000001,0.8895067297228412,1,experiments/results/current/summary_current_live_preferred.csv,64.57 +/- 0.89 (n=10)
primary_10_client,Citeseer,GAT,2,FedProp-Diff,yes,10000,10,50,0.1,0.5,10,65.09,0.7324995259763357,1,experiments/results/current/summary_current_live_preferred.csv,65.09 +/- 0.73 (n=10)
primary_10_client,Citeseer,GAT,2,Full-graph,no,1,10,50,0.1,0.5,20,69.22500000000001,0.8704959264090388,2,experiments/results/current/summary_current_live_preferred.csv,69.23 +/- 0.87 (n=20)
primary_10_client,Citeseer,GAT,2,Full-graph,no,10,10,50,0.1,0.5,20,68.745,1.2067681938484298,2,experiments/results/current/summary_current_live_preferred.csv,68.75 +/- 1.21 (n=20)
primary_10_client,Citeseer,GAT,2,Full-graph,no,10000,10,50,0.1,0.5,20,68.295,0.9394707356580556,2,experiments/results/current/summary_current_live_preferred.csv,68.30 +/- 0.94 (n=20)
primary_10_client,Citeseer,GAT,2,Zero-hop,no,1,10,50,0.1,0.5,10,60.03999999999999,0.8630694577430545,1,experiments/results/current/summary_current_live_preferred.csv,60.04 +/- 0.86 (n=10)
primary_10_client,Citeseer,GAT,2,Zero-hop,no,10,10,50,0.1,0.5,10,56.49999999999999,0.7788880963698575,1,experiments/results/current/summary_current_live_preferred.csv,56.50 +/- 0.78 (n=10)
primary_10_client,Citeseer,GAT,2,Zero-hop,no,10000,10,50,0.1,0.5,25,57.1,1.6345233759927258,4,experiments/results/current/summary_current_live_preferred.csv,57.10 +/- 1.63 (n=25)
primary_10_client,Citeseer,GCN,1,FedProp-Adj,no,1,10,50,0.1,0.5,10,66.34,1.451589167468232,1,experiments/results/current/summary_current_live_preferred.csv,66.34 +/- 1.45 (n=10)
primary_10_client,Citeseer,GCN,1,FedProp-Adj,no,10,10,50,0.1,0.5,10,63.44,1.0926013810067146,1,experiments/results/current/summary_current_live_preferred.csv,63.44 +/- 1.09 (n=10)
primary_10_client,Citeseer,GCN,1,FedProp-Adj,no,10000,10,50,0.1,0.5,10,63.8,1.5427248620541525,1,experiments/results/current/summary_current_live_preferred.csv,63.80 +/- 1.54 (n=10)
primary_10_client,Citeseer,GCN,1,FedProp-Adj,yes,1,10,80,1.0,0.5,10,67.48,0.879140994885852,1,experiments/results/current/summary_current_live_preferred.csv,67.48 +/- 0.88 (n=10)
primary_10_client,Citeseer,GCN,1,FedProp-Adj,yes,10000,10,80,1.0,0.5,10,65.05000000000001,0.9021579068482912,1,experiments/results/current/summary_current_live_preferred.csv,65.05 +/- 0.90 (n=10)
